day;date;weekDay;open;intermediary;close;high;low;dailyAvg;retornoDiscreto;retornoContinuo;longEMA;shortEMA;longSMA;shortSMA
1;2024-07-17;Wednesday;5,45869;5,48646;5,48989;5,48989;5,45869;5,47835;NA;NA;NA;NA;NA;NA
2;2024-07-18;Thursday;5,49209;5,58875;5,54471;5,58875;5,49209;5,54185;0,99856%;0,99361%;NA;NA;NA;NA
3;2024-07-19;Friday;5,54450;5,57886;5,59816;5,59816;5,54450;5,57384;0,96398%;0,95937%;NA;NA;NA;NA
4;2024-07-20;Saturday;5,59816;5,59816;5,59816;5,59816;5,59816;5,59816;0,00000%;0,00000%;NA;NA;NA;NA
5;2024-07-21;Sunday;5,59816;5,59816;5,54530;5,59816;5,54530;5,58054;-0,94424%;-0,94873%;NA;NA;NA;5,55524
6;2024-07-22;Monday;5,57171;5,56926;5,57209;5,57209;5,56926;5,57102;0,48311%;0,48195%;NA;5,56086;NA;5,57168
7;2024-07-23;Tuesday;5,59331;5,58619;5,58656;5,59331;5,58619;5,58869;0,25969%;0,25935%;NA;5,56943;NA;5,58005
8;2024-07-24;Wednesday;5,64124;5,65429;5,65505;5,65505;5,64124;5,65019;1,22598%;1,21852%;NA;5,59797;NA;5,59143
9;2024-07-25;Thursday;5,65020;5,64764;5,64525;5,65020;5,64525;5,64770;-0,17330%;-0,17345%;NA;5,61373;NA;5,60085
10;2024-07-26;Friday;5,64029;5,65784;5,65630;5,65784;5,64029;5,65148;0,19574%;0,19555%;NA;5,62792;NA;5,62305
11;2024-07-27;Saturday;5,65630;5,65630;5,65630;5,65630;5,65630;5,65630;0,00000%;0,00000%;NA;5,63738;NA;5,63989
12;2024-07-28;Sunday;5,65630;5,65665;5,65681;5,65681;5,65630;5,65659;0,00902%;0,00902%;NA;5,64386;NA;5,65394
13;2024-07-29;Monday;5,65090;5,62430;5,61608;5,65090;5,61608;5,63043;-0,72002%;-0,72262%;NA;5,63460;NA;5,64615
14;2024-07-30;Tuesday;5,65566;5,61230;5,61255;5,65566;5,61230;5,62684;-0,06286%;-0,06287%;NA;5,62725;NA;5,63961
