day;date;weekDay;open;intermediary;close;high;low;dailyAvg;retornoDiscreto;retornoContinuo;longEMA;shortEMA;longSMA;shortSMA
1;2024-07-17;Wednesday;5,97318;5,99675;6,00236;6,00236;5,97318;5,99076;NA;NA;NA;NA;NA;NA
2;2024-07-18;Thursday;6,00298;6,09006;6,03708;6,09006;6,00298;6,04337;0,57844%;0,57677%;NA;NA;NA;NA
3;2024-07-19;Friday;6,03963;6,07201;6,09247;6,09247;6,03963;6,06804;0,91750%;0,91331%;NA;NA;NA;NA
4;2024-07-20;Saturday;6,09247;6,09247;6,09247;6,09247;6,09247;6,09247;0,00000%;0,00000%;NA;NA;NA;NA
5;2024-07-21;Sunday;6,09247;6,09247;6,03635;6,09247;6,03635;6,07376;-0,92114%;-0,92541%;NA;NA;NA;6,05215
6;2024-07-22;Monday;6,06090;6,06351;6,06719;6,06719;6,06090;6,06387;0,51090%;0,50960%;NA;5,56086;NA;6,06511
7;2024-07-23;Tuesday;6,06929;6,06130;6,06028;6,06929;6,06028;6,06362;-0,11389%;-0,11396%;NA;5,56943;NA;6,06975
8;2024-07-24;Wednesday;6,12329;6,13004;6,12895;6,13004;6,12329;6,12743;1,13312%;1,12674%;NA;5,59797;NA;6,07705
9;2024-07-25;Thursday;6,12452;6,12516;6,12877;6,12877;6,12452;6,12615;-0,00294%;-0,00294%;NA;5,61373;NA;6,08431
10;2024-07-26;Friday;6,12820;6,14300;6,14047;6,14300;6,12820;6,13722;0,19090%;0,19072%;NA;5,62792;NA;6,10513
11;2024-07-27;Saturday;6,14047;6,14047;6,14047;6,14047;6,14047;6,14047;0,00000%;0,00000%;NA;5,63738;NA;6,11979
12;2024-07-28;Sunday;6,14047;6,14285;6,14186;6,14285;6,14047;6,14173;0,02264%;0,02263%;NA;5,64386;NA;6,13610
13;2024-07-29;Monday;6,10892;6,08887;6,07493;6,10892;6,07493;6,09091;-1,08974%;-1,09572%;NA;5,63460;NA;6,12530
14;2024-07-30;Tuesday;6,11434;6,07054;6,07474;6,11434;6,07054;6,08654;-0,00313%;-0,00313%;NA;5,62725;NA;6,11449
15;2024-07-31;Wednesday;6,15245;6,11441;6,12610;6,15245;6,11441;6,13099;0,84547%;0,84191%;NA;5,63747;NA;6,11162
16;2024-08-01;Thursday;6,09555;6,18762;6,20713;6,20713;6,09555;6,16343;1,32270%;1,31403%;NA;5,67578;NA;6,12495
